Date,Open,High,Low,Close,Adj Close**,Volume
2020-07-12,239.46,243.31,237.77,242.13,242.13,"6,596,394,718"
2020-07-13,242.18,244.31,238.23,239.60,239.60,"7,787,751,468"
2020-07-14,239.98,242.00,237.80,240.21,240.21,"7,357,458,555"
2020-07-15,240.14,241.40,237.10,238.42,238.42,"6,189,328,448"
2020-07-16,238.45,239.01,231.62,233.64,233.64,"5,832,057,567"
2020-07-17,233.69,234.42,232.11,232.77,232.77,"5,859,850,529"
2020-07-18,232.86,236.54,232.32,235.48,235.48,"5,397,402,117"
2020-07-19,235.46,239.16,233.28,238.49,238.49,"6,251,377,305"
2020-07-20,238.49,239.58,234.85,236.15,236.15,"5,600,686,192"
2020-07-21,236.30,246.19,235.68,245.02,245.02,"6,806,696,015"
2020-07-22,245.04,262.99,242.48,262.19,262.19,"7,702,077,383"
2020-07-23,262.39,277.58,261.05,274.69,274.69,"10,281,309,262"
2020-07-24,274.72,286.19,269.24,279.22,279.22,"9,466,060,358"
2020-07-25,279.03,306.74,279.03,304.06,304.06,"10,785,021,813"
2020-07-26,303.69,316.39,300.27,309.64,309.64,"12,003,973,026"
2020-07-27,309.66,330.70,309.66,321.51,321.51,"15,644,257,058"
2020-07-28,321.83,325.91,307.72,316.66,316.66,"12,357,108,065"
2020-07-29,316.56,324.38,313.11,318.19,318.19,"10,878,845,706"
2020-07-30,318.14,338.63,315.75,334.59,334.59,"11,827,689,045"
2020-07-31,334.63,348.61,329.34,345.55,345.55,"12,030,600,492"
2020-08-01,345.80,388.85,343.59,385.20,385.20,"14,045,259,477"
2020-08-02,385.55,411.23,357.14,370.67,370.67,"18,909,744,275"
2020-08-03,371.13,396.51,369.34,386.30,386.30,"12,834,648,062"
2020-08-04,386.16,400.70,382.99,389.88,389.88,"14,086,704,221"
2020-08-05,389.71,406.30,386.22,401.59,401.59,"12,875,466,638"
2020-08-06,401.58,403.49,392.60,394.96,394.96,"11,304,626,458"
2020-08-07,395.23,398.25,367.94,379.51,379.51,"12,751,687,084"
2020-08-08,379.55,393.99,377.35,393.99,393.99,"9,342,060,531"
2020-08-09,395.31,399.74,385.83,391.12,391.12,"9,451,065,592"
2020-08-10,391.04,399.38,391.04,395.89,395.89,"11,685,827,893"
2020-08-11,395.89,398.48,370.86,380.38,380.38,"12,792,218,737"
2020-08-12,380.06,391.31,367.92,391.02,391.02,"12,408,772,745"
2020-08-13,390.84,432.90,379.71,428.74,428.74,"18,480,303,526"
2020-08-14,428.68,444.58,423.35,437.40,437.40,"15,064,589,987"
2020-08-15,437.56,441.75,429.87,433.35,433.35,"12,416,067,894"
2020-08-16,433.35,436.27,415.09,433.79,433.79,"12,168,816,874"
2020-08-17,433.97,442.73,422.65,429.53,429.53,"13,227,089,410"
2020-08-18,429.67,432.58,419.67,423.67,423.67,"11,978,984,079"
2020-08-19,423.74,427.02,396.68,406.46,406.46,"13,137,391,167"
2020-08-20,406.76,418.73,404.03,416.44,416.44,"10,043,032,427"
2020-08-21,416.15,418.64,387.44,389.13,389.13,"11,781,796,374"
2020-08-22,389.03,396.47,382.81,395.84,395.84,"10,131,847,985"
2020-08-23,395.56,396.49,385.04,391.38,391.38,"8,137,303,970"
2020-08-24,391.68,409.39,389.31,408.14,408.14,"10,328,860,398"
2020-08-25,408.07,408.53,374.36,384.00,384.00,"12,428,442,042"
2020-08-26,383.98,391.87,378.71,386.47,386.47,"9,967,343,483"
2020-08-27,386.61,395.35,374.87,382.63,382.63,"10,457,777,652"
2020-08-28,382.63,397.76,381.27,395.87,395.87,"9,120,674,421"
2020-08-29,395.69,405.62,393.04,399.92,399.92,"8,777,703,481"
2020-08-30,399.62,428.66,399.61,428.40,428.40,"11,211,948,040"
2020-08-31,428.51,438.56,419.77,435.08,435.08,"12,774,741,797"
2020-09-01,434.87,487.21,432.08,477.05,477.05,"18,862,763,756"
2020-09-02,477.01,480.33,424.46,440.04,440.04,"19,691,854,014"
2020-09-03,440.24,449.53,381.13,385.67,385.67,"19,622,845,896"
2020-09-04,384.67,402.41,371.64,388.24,388.24,"16,747,106,257"
2020-09-05,388.04,394.17,316.77,335.26,335.26,"29,880,047,640"
2020-09-06,335.33,359.76,319.04,353.36,353.36,"27,643,678,917"
2020-09-07,353.45,358.21,326.25,352.67,352.67,"21,763,614,732"
2020-09-08,353.20,355.56,328.82,337.60,337.60,"17,991,403,432"
2020-09-09,337.82,359.16,332.17,351.11,351.11,"14,547,933,520"
2020-09-10,351.43,377.39,351.11,368.10,368.10,"31,421,134,556"
2020-09-11,368.12,376.63,355.58,374.70,374.70,"27,296,269,329"
2020-09-12,374.60,387.54,367.84,387.18,387.18,"13,295,405,814"
2020-09-13,387.52,388.96,354.34,365.57,365.57,"15,005,899,191"
2020-09-14,365.70,384.49,357.57,377.27,377.27,"17,536,695,361"
2020-09-15,377.15,381.51,363.61,364.84,364.84,"16,140,584,321"
2020-09-16,364.74,372.77,356.68,365.81,365.81,"16,107,612,177"
2020-09-17,365.87,393.90,364.80,389.02,389.02,"19,899,531,080"
2020-09-18,389.34,391.90,376.96,384.36,384.36,"14,108,357,740"
2020-09-19,384.04,387.08,378.72,385.54,385.54,"11,049,507,684"
2020-09-20,385.60,385.60,367.09,371.05,371.05,"12,292,195,784"
2020-09-21,371.40,375.74,336.07,341.79,341.79,"17,398,267,133"
2020-09-22,341.72,346.60,336.86,344.50,344.50,"12,732,578,043"
2020-09-23,344.59,344.67,318.97,321.12,321.12,"12,899,346,599"
2020-09-24,320.99,351.46,318.55,349.36,349.36,"15,714,304,470"
2020-09-25,349.41,357.77,339.02,352.18,352.18,"14,381,086,966"
2020-09-26,352.35,355.85,348.11,355.49,355.49,"13,049,148,579"
2020-09-27,354.96,361.98,349.83,357.44,357.44,"13,598,126,926"
2020-09-28,357.93,366.43,354.55,355.16,355.16,"14,258,455,166"
2020-09-29,354.36,360.35,352.15,359.76,359.76,"11,600,013,236"
2020-09-30,360.04,361.18,353.33,359.94,359.94,"11,818,610,610"
2020-10-01,360.31,369.26,346.48,353.21,353.21,"14,679,481,911"
2020-10-02,352.95,354.12,336.47,346.24,346.24,"14,215,390,463"
2020-10-03,346.22,351.31,344.67,346.52,346.52,"10,060,167,889"
2020-10-04,346.60,354.05,345.13,352.58,352.58,"10,696,959,020"
2020-10-05,352.74,355.21,349.68,353.96,353.96,"11,809,507,622"
2020-10-06,353.96,354.99,338.00,340.82,340.82,"12,830,796,112"
2020-10-07,340.94,342.45,334.55,341.81,341.81,"11,929,918,060"
2020-10-08,342.04,352.21,335.65,350.77,350.77,"13,461,017,711"
2020-10-09,351.11,368.31,348.21,365.59,365.59,"13,043,501,763"
2020-10-10,365.40,378.27,365.35,370.97,370.97,"13,618,484,324"
2020-10-11,370.93,377.25,369.83,375.14,375.14,"12,584,512,533"
2020-10-12,374.80,395.12,366.64,387.73,387.73,"15,867,455,424"
2020-10-13,387.14,387.38,375.58,381.19,381.19,"14,226,744,838"
2020-10-14,381.97,387.30,374.18,379.48,379.48,"13,918,846,567"
2020-10-15,379.19,381.21,371.35,377.44,377.44,"14,964,182,545"
2020-10-16,377.87,380.02,362.60,366.23,366.23,"14,670,784,817"
2020-10-17,366.02,369.77,364.49,368.86,368.86,"10,951,115,359"
2020-10-18,368.73,378.60,368.13,378.21,378.21,"11,047,103,109"
